X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
k__Bacteria;p__Planctomycetes;c__Pla4,k__Bacteria;p__Acidobacteria;c__RB25,1.0,0.19581223,0.0,1.0,2.0,0.8967652
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,1.0,0.4580707,0.0,1.0,2.0,0.7361585
k__Bacteria;p__SC4;c__,k__Bacteria;p__OctSpA1-106;c__,1.0,0.8928828,0.0,1.0,2.0,-0.32728758
k__Bacteria;p__Tenericutes;c__Mollicutes,k__Bacteria;p__Planctomycetes;c__[Brocadiae],1.0,0.530633,0.0,1.0,2.0,0.68510365
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,1.0,0.39444953,0.0,1.0,2.0,0.77817124
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Planctomycetes;c__Phycisphaerae,1.0,0.3525051,0.0,1.0,2.0,0.8046707
k__Bacteria;p__WS4;c__,k__Bacteria;p__Acidobacteria;c__S035,1.0,0.11203247,0.0,1.0,2.0,0.9423203
k__Bacteria;p__WS4;c__,k__Bacteria;p__Bacteroidetes;c__SM1A07,1.0,0.4045673,0.0,1.0,2.0,0.77164286
k__Bacteria;p__WS4;c__,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,1.0,0.42621624,0.0,1.0,2.0,0.75748515
k__Bacteria;p__WS4;c__,k__Bacteria;p__Chloroflexi;c__P2-11E,1.0,0.7853396,0.0,1.0,2.0,-0.4633146
k__Bacteria;p__WS5;c__,k__Bacteria;p__Acidobacteria;c__DA052,1.0,0.14923191,0.0,1.0,2.0,0.9223709
k__Bacteria;p__WS5;c__,k__Bacteria;p__Planctomycetes;c__OM190,1.0,0.14741492,0.0,1.0,2.0,0.92335534
k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.99107,0.0668841,0.0,0.99107,2.0,0.96134585
k__Bacteria;p__TM6;c__SBRH58,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.99107,0.52891773,0.0,0.99107,2.0,0.6798178
k__Bacteria;p__TM6;c__SBRH58,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.99107,0.17315233,0.0,0.99107,2.0,0.904388
k__Bacteria;p__Verrucomicrobia;c__Opitutae,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,0.8524,0.4102754,0.0,0.8524,2.0,0.6649245
k__Bacteria;p__Acidobacteria;c__Acidobacteriia,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.016787171,0.0,0.73944,2.0,0.8500899
k__Bacteria;p__Acidobacteria;c__RB25,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.73944,-0.1093775,0.0,0.73944,2.0,0.9213129
k__Bacteria;p__Acidobacteria;c__RB25,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.0010455251,0.0,0.73944,2.0,0.8592988
k__Bacteria;p__Acidobacteria;c__RB25,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,-0.2108497,0.0,0.73944,2.0,0.97482806
k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.73944,-0.23010057,0.0,0.73944,2.0,0.9846525
k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.080466926,0.0,0.73944,2.0,0.8117716
k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,-0.24203396,0.0,0.73944,2.0,0.9906937
k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__OS-K,0.73944,0.7387979,0.0,0.73944,2.0,0.025340348
k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,-0.20180303,0.0,0.73944,2.0,0.9701768
k__Bacteria;p__Acidobacteria;c__Sva0725,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.44487002,0.0,0.73944,2.0,-0.542743
k__Bacteria;p__Acidobacteria;c__Sva0725,k__Bacteria;p__Acidobacteria;c__S035,0.73944,0.5000695,0.0,0.73944,2.0,-0.4892551
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],k__Archaea;p__Crenarchaeota;c__MCG,0.73944,-0.16795963,0.0,0.73944,2.0,0.95257527
k__Bacteria;p__Acidobacteria;c__iii1-8,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.5666374,0.0,0.73944,2.0,0.41569534
k__Bacteria;p__Acidobacteria;c__iii1-8,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,0.57251245,0.0,0.73944,2.0,0.4085677
k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.73944,-0.18774575,0.0,0.73944,2.0,0.9629049
k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.15930521,0.0,0.73944,2.0,0.7616658
k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__Acidobacteria;c__S035,0.73944,-0.17860961,0.0,0.73944,2.0,0.9581491
k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__Acidobacteria;c__Sva0725,0.73944,0.43088484,0.0,0.73944,2.0,-0.55547744
k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__Acidobacteria;c__DA052,0.73944,-0.18675953,0.0,0.73944,2.0,0.9623926
k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__Acidobacteria;c__OS-K,0.73944,0.047030807,0.0,0.73944,2.0,0.8321113
k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__Acidobacteria;c__S035,0.73944,0.7393286,0.0,0.73944,2.0,0.010554942
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],k__Bacteria;p__Armatimonadetes;c__SJA-176,0.73944,0.10329324,0.0,0.73944,2.0,0.7975881
k__Bacteria;p__Bacteroidetes;Other,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,0.73944,0.309682,0.0,0.73944,2.0,0.6555593
k__Bacteria;p__Bacteroidetes;Other,k__Bacteria;p__Acidobacteria;c__DA052,0.73944,0.25469628,0.0,0.73944,2.0,0.6962354
k__Bacteria;p__Bacteroidetes;c__BME43,k__Bacteria;p__Acidobacteria;c__BPC102,0.73944,0.34249595,0.0,0.73944,2.0,0.630035
k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Acidobacteria;c__DA052,0.73944,-0.22911775,0.0,0.73944,2.0,0.98415333
k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Armatimonadetes;c__SJA-176,0.73944,0.29704708,0.0,0.73944,2.0,0.66512626
k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.73944,-0.16510141,0.0,0.73944,2.0,0.9510738
k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Bacteroidetes;Other,0.73944,0.24432072,0.0,0.73944,2.0,0.70364714
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.73944,0.32425243,0.0,0.73944,2.0,0.6443505
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.035469234,0.0,0.73944,2.0,0.83902967
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,0.22248203,0.0,0.73944,2.0,0.7189979
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Acidobacteria;c__OS-K,0.73944,0.3501163,0.0,0.73944,2.0,0.6239581
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,0.12755764,0.0,0.73944,2.0,0.7822291
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Acidobacteria;c__Sva0725,0.73944,0.20403731,0.0,0.73944,2.0,-0.73171216
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Actinobacteria;c__OPB41,0.73944,0.25714856,0.0,0.73944,2.0,0.6944721
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.73944,0.28810057,0.0,0.73944,2.0,0.671818
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,k__Bacteria;p__Acidobacteria;c__TM1,0.73944,0.39757967,0.0,0.73944,2.0,0.58468825
k__Bacteria;p__Chlorobi;Other,k__Bacteria;p__BRC1;c__PRR-11,0.73944,0.22372597,0.0,0.73944,2.0,0.7181323
k__Bacteria;p__Chlorobi;c__Ignavibacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.6525698,0.0,0.73944,2.0,0.29473764
k__Bacteria;p__Chlorobi;c__Ignavibacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,0.6985316,0.0,0.73944,2.0,0.20225824
k__Bacteria;p__Chlorobi;c__Ignavibacteria,k__Bacteria;p__Acidobacteria;c__OS-K,0.73944,0.68059075,0.0,0.73944,2.0,0.24258865
k__Bacteria;p__Chlorobi;c__Ignavibacteria,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,0.6715882,0.0,0.73944,2.0,0.26048383
k__Bacteria;p__Chlorobi;c__Ignavibacteria,k__Bacteria;p__Acidobacteria;c__S035,0.73944,0.71370864,0.0,0.73944,2.0,0.16041009
k__Bacteria;p__Chlorobi;c__Ignavibacteria,k__Bacteria;p__Bacteroidetes;c__SM1A07,0.73944,0.57187104,0.0,0.73944,2.0,0.40935194
k__Bacteria;p__Chlorobi;c__OPB56,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,0.73944,-0.16800356,0.0,0.73944,2.0,0.95259833
k__Bacteria;p__Chlorobi;c__OPB56,k__Bacteria;p__Acidobacteria;c__DA052,0.73944,-0.24572897,0.0,0.73944,2.0,0.9925568
k__Bacteria;p__Chlorobi;c__OPB56,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.73944,-0.17711622,0.0,0.73944,2.0,0.95736945
k__Bacteria;p__Chlorobi;c__OPB56,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.73944,-0.19239724,0.0,0.73944,2.0,0.9653172
k__Bacteria;p__Chloroflexi;Other,k__Bacteria;p__Acidobacteria;c__DA052,0.73944,-0.19155335,0.0,0.73944,2.0,0.96488
k__Bacteria;p__Chloroflexi;Other,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,0.726594,0.0,0.73944,2.0,0.11334053
k__Bacteria;p__Chloroflexi;Other,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.73944,-0.2102533,0.0,0.73944,2.0,0.9745221
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,0.5440291,0.0,0.73944,2.0,0.44205302
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,0.4334434,0.0,0.73944,2.0,0.5531696
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Acidobacteria;c__S035,0.73944,0.57464814,0.0,0.73944,2.0,0.4059457
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Acidobacteria;c__iii1-8,0.73944,0.28782246,0.0,0.73944,2.0,0.67202497
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Actinobacteria;c__OPB41,0.73944,0.51562685,0.0,0.73944,2.0,0.47308895
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.73944,0.033696294,0.0,0.73944,2.0,0.84008557
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Bacteroidetes;c__SM1A07,0.73944,-0.0117329955,0.0,0.73944,2.0,0.8667024
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Chloroflexi;Other,0.73944,0.092582285,0.0,0.73944,2.0,0.8042747
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,k__Bacteria;p__Acidobacteria;c__Sva0725,0.73944,0.4971212,0.0,0.73944,2.0,-0.4922589
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,k__Bacteria;p__Actinobacteria;c__OPB41,0.73944,-0.16322154,0.0,0.73944,2.0,0.95008504
k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Acidobacteria;c__DA052,0.73944,0.18149889,0.0,0.73944,2.0,0.74695456
k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.73944,0.14217705,0.0,0.73944,2.0,0.7728279
k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.73944,0.15886831,0.0,0.73944,2.0,0.7619526
k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Bacteroidetes;c__Cytophagia,0.73944,0.15354538,0.0,0.73944,2.0,0.76543754
k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Chlorobi;c__OPB56,0.73944,0.17735559,0.0,0.73944,2.0,0.7497229
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.73944,0.08296293,0.0,0.73944,2.0,0.81023276
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,0.048291802,0.0,0.73944,2.0,0.83135325
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Acidobacteria;c__OS-K,0.73944,0.6884725,0.0,0.73944,2.0,0.22575991
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,0.01924485,0.0,0.73944,2.0,0.8486431
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Actinobacteria;c__OPB41,0.73944,0.11384159,0.0,0.73944,2.0,0.7909478
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Chlorobi;c__Ignavibacteria,0.73944,0.7106831,0.0,0.73944,2.0,0.16957873
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,0.22400707,0.0,0.73944,2.0,0.7179366
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,0.0952003,0.0,0.73944,2.0,0.80264544
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Bacteroidetes;c__SM1A07,0.73944,0.12224734,0.0,0.73944,2.0,0.7856161
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.73944,0.58513075,0.0,0.73944,2.0,-0.3928222
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,0.52566016,0.0,0.73944,2.0,-0.46236333
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Acidobacteria;c__OS-K,0.73944,0.54970664,0.0,0.73944,2.0,-0.43558395
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,0.5417013,0.0,0.73944,2.0,-0.4446782
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Chlorobi;c__Ignavibacteria,0.73944,0.55500776,0.0,0.73944,2.0,-0.4294558
k__Bacteria;p__Chloroflexi;c__SAR202,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.574686,0.0,0.73944,2.0,0.40589905
k__Bacteria;p__Chloroflexi;c__SAR202,k__Bacteria;p__Actinobacteria;c__OPB41,0.73944,0.43501544,0.0,0.73944,2.0,0.55174685
k__Bacteria;p__Chloroflexi;c__SAR202,k__Bacteria;p__Chloroflexi;c__C0119,0.73944,0.3589686,0.0,0.73944,2.0,0.6168237
k__Bacteria;p__Chloroflexi;c__SAR202,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.73944,0.07201469,0.0,0.73944,2.0,0.81696105
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,0.73944,0.6116776,0.0,0.73944,2.0,-0.3574387
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,0.73944,-0.22515267,0.0,0.73944,2.0,0.9821368
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Acidobacteria;c__BPC102,0.73944,0.3984364,0.0,0.73944,2.0,0.58395517
k__Bacteria;p__Fusobacteria;c__Fusobacteriia,k__Bacteria;p__Armatimonadetes;c__SJA-176,0.73944,0.18405163,0.0,0.73944,2.0,0.74524385
k__Bacteria;p__GN04;c__GN15,k__Bacteria;p__Chloroflexi;c__C0119,0.73944,0.30103076,0.0,0.73944,2.0,0.6621248
k__Bacteria;p__GN04;c__GN15,k__Bacteria;p__Chloroflexi;c__SAR202,0.73944,-0.16088963,0.0,0.73944,2.0,0.948857
k__Bacteria;p__GN04;c__MSB-5A5,k__Bacteria;p__Chlorobi;c__OPB56,0.73944,0.33089733,0.0,0.73944,2.0,0.63917345
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2,k__Bacteria;p__Chloroflexi;c__SAR202,0.73944,0.37077552,0.0,0.73944,2.0,0.6071775
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,0.6955119,0.0,0.73944,2.0,0.20959045
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Acidobacteria;c__Sva0725,0.73944,0.48501128,0.0,0.73944,2.0,-0.5044093
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Acidobacteria;c__iii1-8,0.73944,0.10885328,0.0,0.73944,2.0,0.7940949
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Chloroflexi;c__C0119,0.73944,0.30480886,0.0,0.73944,2.0,0.65926564
k__Bacteria;p__NC10;c__wb1-A12,k__Bacteria;p__Acidobacteria;c__DA052,0.73944,0.055007935,0.0,0.73944,2.0,0.8273041
k__Bacteria;p__NC10;c__wb1-A12,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.73944,0.042926013,0.0,0.73944,2.0,0.83457416
k__Bacteria;p__NC10;c__wb1-A12,k__Bacteria;p__Bacteroidetes;Other,0.73944,0.042737365,0.0,0.73944,2.0,0.8346872
k__Bacteria;p__NC10;c__wb1-A12,k__Bacteria;p__Chloroflexi;c__Ellin6529,0.73944,0.0930565,0.0,0.73944,2.0,0.8039798
k__Bacteria;p__NC10;c__wb1-A12,k__Bacteria;p__FCPU426;c__,0.73944,0.5193738,0.0,0.73944,2.0,0.46911222
k__Bacteria;p__NKB19;c__TSBW08,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.73944,0.4598424,0.0,0.73944,2.0,0.5287699
k__Bacteria;p__NKB19;c__TSBW08,k__Bacteria;p__Chlorobi;c__OPB56,0.73944,0.53583616,0.0,0.73944,2.0,0.45122483
k__Bacteria;p__NKB19;c__TSBW08,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0.73944,0.5755516,0.0,0.73944,2.0,0.40483135
k__Bacteria;p__OD1;c__,k__Bacteria;p__Actinobacteria;c__OPB41,0.73944,0.2673741,0.0,0.73944,2.0,0.68707055
k__Bacteria;p__OD1;c__,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.73944,-0.08499777,0.0,0.73944,2.0,0.90798557
k__Bacteria;p__OD1;c__,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2,0.73944,0.051586866,0.0,0.73944,2.0,0.8293691
k__Bacteria;p__OD1;c__ZB2,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.73944,0.43152002,0.0,0.73944,2.0,0.5549054
k__Bacteria;p__OP11;c__,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,0.73944,0.40362334,0.0,0.73944,2.0,0.5794969
k__Bacteria;p__OP11;c__,k__Bacteria;p__Chlorobi;Other,0.73944,0.43563956,0.0,0.73944,2.0,0.55118096
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Acidobacteria;c__S035,0.73944,5.3596497E-4,0.0,0.73944,2.0,0.8595953
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Acidobacteria;c__Sva0725,0.73944,0.48696092,0.0,0.73944,2.0,-0.502473
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Bacteroidetes;c__SM1A07,0.73944,0.2077992,0.0,0.73944,2.0,0.72913706
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.73944,0.069404244,0.0,0.73944,2.0,0.81855714
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.73944,0.01996094,0.0,0.73944,2.0,0.8482211
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Chloroflexi;c__P2-11E,0.73944,0.61362815,0.0,0.73944,2.0,-0.35469973
k__Bacteria;p__Planctomycetes;c__ODP123,k__Bacteria;p__Actinobacteria;c__OPB41,0.73944,-0.019561172,0.0,0.73944,2.0,0.87120676
k__Bacteria;p__Planctomycetes;c__ODP123,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.73944,0.09963912,0.0,0.73944,2.0,0.79987556
k__Bacteria;p__Planctomycetes;c__ODP123,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2,0.73944,0.28060803,0.0,0.73944,2.0,0.6773714
k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.73944,-0.0025670528,0.0,0.73944,2.0,0.86139834
k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Bacteroidetes;Other,0.73944,0.053581357,0.0,0.73944,2.0,0.8281658
k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Bacteroidetes;c__Cytophagia,0.73944,-0.10892737,0.0,0.73944,2.0,0.9210686
k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Chlorobi;c__OPB56,0.73944,-0.07056433,0.0,0.73944,2.0,0.9000024
k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Chloroflexi;Other,0.73944,-0.0077424645,0.0,0.73944,2.0,0.86439717
k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Chloroflexi;c__Ellin6529,0.73944,-0.018650234,0.0,0.73944,2.0,0.8706838
k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__NC10;c__wb1-A12,0.73944,-0.05904734,0.0,0.73944,2.0,0.8935812
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.73944,-0.015961647,0.0,0.73944,2.0,0.8691385
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.73944,-0.21611124,0.0,0.73944,2.0,0.977523
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Acidobacteria;c__RB25,0.73944,-0.24875957,0.0,0.73944,2.0,0.9940823
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Acidobacteria;c__S035,0.73944,-0.20400047,0.0,0.73944,2.0,0.97130865
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Bacteroidetes;c__SM1A07,0.73944,0.17826307,0.0,0.73944,2.0,0.74911743
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Chlorobi;c__Ignavibacteria,0.73944,0.6843012,0.0,0.73944,2.0,0.2348166
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Chloroflexi;c__C0119,0.73944,0.4804846,0.0,0.73944,2.0,0.5088766
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.73944,8.3756447E-4,0.0,0.73944,2.0,0.8594198
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Chloroflexi;c__P2-11E,0.73944,0.5715976,0.0,0.73944,2.0,-0.4096858
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Chloroflexi;c__SAR202,0.73944,0.5360286,0.0,0.73944,2.0,0.45101157
