X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Acidobacteria;c__S035,1.0,0.51650614,0.0,1.0,2.0,0.69533724
k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,1.0,0.5838462,0.0,1.0,2.0,0.6450998
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Acidobacteria;c__S035,1.0,0.27762997,0.0,1.0,2.0,0.84992355
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Bacteroidetes;c__SM1A07,1.0,0.65929437,0.0,1.0,2.0,0.58369994
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Acidobacteria;c__S035,1.0,0.8383102,0.0,1.0,2.0,-0.40210673
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Bacteroidetes;c__SM1A07,1.0,0.62152237,0.0,1.0,2.0,-0.61520535
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,1.0,0.83921444,0.0,1.0,2.0,-0.4009807
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Acidobacteria;c__TM1,1.0,0.9578813,0.0,1.0,2.0,-0.20522848
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,1.0,0.69301945,0.0,1.0,2.0,0.55405825
k__Bacteria;p__NC10;c__wb1-A12,k__Bacteria;p__Bacteroidetes;c__Cytophagia,1.0,0.28254372,0.0,1.0,2.0,0.8470279
k__Bacteria;p__OD1;c__,k__Bacteria;p__Chloroflexi;c__SAR202,1.0,0.22575843,0.0,1.0,2.0,0.87991
k__Bacteria;p__Planctomycetes;c__ODP123,k__Bacteria;p__Chloroflexi;c__SAR202,1.0,0.80692697,0.0,1.0,2.0,0.43940076
k__Bacteria;p__Planctomycetes;c__ODP123,k__Bacteria;p__OD1;c__,1.0,0.5457143,0.0,1.0,2.0,0.6740072
k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Acidobacteria;c__DA052,1.0,0.17741382,0.0,1.0,2.0,0.9069654
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,1.0,0.36968172,0.0,1.0,2.0,0.7939259
