Unassigned;Other	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Archaea;p__[Parvarchaeota]	k__Bacteria;Other	k__Bacteria;p__	k__Bacteria;p__AD3	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BHI80-139	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__FBP	k__Bacteria;p__FCPU426	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GAL15	k__Bacteria;p__GN02	k__Bacteria;p__GN04	k__Bacteria;p__GOUTA4	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__LD1	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__NC10	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OD1	k__Bacteria;p__OP11	k__Bacteria;p__OP3	k__Bacteria;p__OctSpA1-106	k__Bacteria;p__PAUC34f	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SBR1093	k__Bacteria;p__SC4	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WPS-2	k__Bacteria;p__WS1	k__Bacteria;p__WS2	k__Bacteria;p__WS3	k__Bacteria;p__WS4	k__Bacteria;p__WS5	k__Bacteria;p__WWE1	k__Bacteria;p__[Caldithrix]	k__Bacteria;p__[Thermi]	Richness_Avg	PD_Avg	Temperature	OrganicMatter_500	NO3N_ppm	NH4N.ppm	pH	SulfateSulfur_ppm	K_ppm	Ca_ppm	Mg_ppm	Fe_ppm	Iron_ppm
Centralia_C01	0.001448308	0.004022574	0.000744585	0	1.82e-05	6.36e-05	0.000553898	0.234544192	0.03823261	0.003032821	4.54e-06	4.54e-05	0.136790204	0.003405113	0.012789605	0.081468466	0.00419964	0.006524197	0.000108964	0.00302374	9.99e-05	0.007459468	0	0.000426774	5.9e-05	0.000113504	5.45e-05	0.011350377	0	0	0.000136205	2.27e-05	0.015690761	0.000622001	9.08e-05	0.000440395	0	4.54e-06	0.025229618	0.32632334	0	3.18e-05	0.000567519	0.005289276	6.36e-05	0	0.067670948	0.002783112	0	1.36e-05	0.004018033	0.000276949	9.08e-06	0.000104423	2.72e-05	0	-0.349576103782625	0.122176468203427	-0.713203941612724	-0.7372722700275	-0.259758775550108	-0.266939458806868	-0.251623766882435	-0.797707586792774	-0.428015106670736	-0.365609162268	-0.162133704271825	-0.572052124439404	-0.572052124439404
Centralia_C02	0.000939811	0.003854588	0.0005993	1.82e-05	4.99e-05	0	0.000199767	0.272926627	0.072133916	0.00270593	4.99e-05	0.000127124	0.117235775	0.003396033	0.009843047	0.052030128	0.015908688	0.005134911	0.000140745	0.002215594	9.99e-05	0.008930477	0	0.000108964	2.72e-05	0.000349592	2.27e-05	0.008589965	0	0	0.000145285	2.27e-05	0.015999492	0.00028603	0.000145285	0.000653782	0	0	0.027213664	0.299967765	0	0	0.000358672	0.00059022	0.000272409	2.72e-05	0.069455227	0.003672982	1.82e-05	0	0.003050981	0.000404073	0	6.81e-05	0	9.08e-06	-0.0627697047763139	0.293442447752545	-0.747881604900214	-0.510120576562806	-0.264116331896708	-0.256117588855238	-0.778278162682879	1.99139951523088	-0.833503102464064	-0.579637171015588	-0.933033581186916	-0.470425334494627	-0.470425334494627
Centralia_C03	0.000953432	0.004930604	0.000531198	4.54e-06	6.36e-05	9.08e-06	0.000167986	0.360674122	0.034900139	0.004862502	0.000254248	0.000104423	0.105812755	0.010959924	0.013461547	0.030269186	0.005906736	0.007600212	0.000122584	0.005520823	8.17e-05	0.004499289	4.54e-06	0.000213387	9.08e-06	9.08e-05	1.36e-05	0.008712549	4.54e-06	0	0.000172526	1.82e-05	0.008063308	0.000948892	1.82e-05	0.000227008	0	0	0.038641224	0.253081627	7.26e-05	9.08e-06	0.000622001	0.007159818	0.000249708	0	0.085118748	0.003205346	4.09e-05	0	0.001466469	0.000104423	0	1.36e-05	0	2.72e-05	0.00507376366552199	0.459403728820053	-0.671590745667735	3.19419934763067	-0.277189000936508	-0.230866558968102	-0.462285525202613	-0.642757192235904	-0.659722532838352	1.57174066506202	3.14172291107857	-0.515178416305171	-0.515178416305171
Centralia_C04	0.001148658	0.011264114	0.001411987	0	2.27e-05	1.36e-05	0.001711637	0.443032458	0.042831783	0.002428981	0.000136205	0	0.039245064	0.004444808	0.003268909	0.099488325	0.002978339	0.020694007	2.27e-05	0.004231421	2.27e-05	0.003945391	0	0.000876249	6.81e-05	6.36e-05	4.54e-06	0.007123497	0	0	2.27e-05	0	0.001970425	0.001861462	9.08e-06	0.001098716	0	0	0.025234158	0.204606437	0	0	0.00331885	0.001888703	0.000186146	0	0.063425907	0.005548064	0	0	0.00031327	3.63e-05	0	0	0	0	0.818188915930229	0.660982271121227	-0.768688202872709	0.0402854499093368	-0.255401219203508	-0.165935339258323	-0.356954646042524	0.338595306624271	-0.48594196321264	-0.509879894090448	-0.437455088884357	0.533721938629447	0.533721938629447
Centralia_C05	0.001098716	0.00902128	0.000808147	0	5.45e-05	4.54e-06	0.000622001	0.379252419	0.029551842	0.00300104	5.45e-05	3.63e-05	0.096223957	0.009861208	0.00632897	0.057033375	0.002506163	0.012299269	5.45e-05	0.004167858	6.36e-05	0.003518617	0	1.36e-05	9.08e-06	0.000140745	2.72e-05	0.005933977	0	0	0.000108964	1.82e-05	0.011000785	0.000685563	1.36e-05	0.000490336	0	0	0.026623444	0.260436672	4.54e-06	9.08e-06	0.000780906	0.005044108	0.000213387	4.54e-06	0.06681286	0.004004413	2.27e-05	9.08e-06	0.001838761	9.53e-05	0	8.17e-05	1.36e-05	0	1.02294945007913	0.921670310788911	-0.720139474270222	1.14109750285362	-0.0418809582201013	-0.165935339258323	-0.883609041842969	-0.539456929197991	0.0353997456644971	-0.57329560038603	-0.492519365806864	0.508548330111016	0.508548330111016
Centralia_C06	0.001947725	0.00211571	0.00813141	0	9.08e-06	0	3.63e-05	0.352538171	0.050250389	0.0042178	4.54e-05	0	0.069282702	0.015236746	0.002002207	0.077768243	0.07255161	0.004635494	1.82e-05	0.008839674	7.26e-05	0.003564018	4.54e-06	0.000167986	9.08e-06	4.09e-05	0	0.003949931	0	0	2.27e-05	0	0.001788819	0.000349592	1.36e-05	2.72e-05	0	0	0.036180462	0.240564432	0.000190686	0	0.000685563	0.003745624	0.000272409	0	0.036684419	0.001843301	0	0	0.000190686	0	0	0	4.54e-06	0	-0.0733562679837218	-0.124870918225832	-0.0196506758629112	-0.0383439824438265	-0.255401219203508	-0.230866558968102	-0.251623766882435	-0.642757192235904	0.209180315290209	-0.497196752831332	-0.327326535039344	-0.320316039255095	-0.320316039255095
Centralia_C07	0.001007913	0.037896639	0.000426774	0	4.54e-06	3.18e-05	0.000644701	0.372691901	0.035186169	0.003028281	0.000254248	9.08e-06	0.078594551	0.01714815	0.007745497	0.058054909	0.004562852	0.010165398	1.82e-05	0.016389944	3.18e-05	0.009211966	0	0.000213387	1.36e-05	3.63e-05	1.82e-05	0.006537817	0	4.54e-06	3.18e-05	0	0.005470882	0.002306397	2.27e-05	0.000721884	0	0	0.025420304	0.218113386	0	0	0.001157738	0.010333383	0.000163445	4.54e-06	0.062808446	0.013121036	9.08e-06	0	0.000358672	1.36e-05	4.54e-06	0	4.54e-06	0	1.03353601328654	0.811029456743905	-0.754817137557712	-0.553803594536786	-0.259758775550108	-0.202008239097089	-0.356954646042524	-0.126255877046338	-0.138380823961215	-0.549514710525187	-0.602647919651877	-0.00984153419444815	-0.00984153419444815
Centralia_C08	0.000953432	0.00210209	0.000381373	0	4.54e-05	8.63e-05	2.27e-05	0.16376324	0.057151419	0.001039695	7.26e-05	1.82e-05	0.082521781	0.007736417	0.009688682	0.053682743	0.004485669	0.00510767	3.63e-05	0.002043068	0.000994293	0.009084842	0	0	1.82e-05	0.000744585	1.82e-05	0.017561303	0	9.08e-06	2.72e-05	4.54e-05	0.032457538	0.002365419	6.36e-05	0.001030614	0	0	0.051866683	0.392477878	0	4.54e-06	0.000808147	0.003405113	9.08e-05	4.54e-06	0.086508034	1.82e-05	0	1.36e-05	0.009425353	4.54e-06	0	1.36e-05	0	0	1.45513471003223	1.59536701795336	-0.817236931475195	-0.746008873622296	-0.264116331896708	-0.241688428919732	1.11767766219872	-0.436156666160078	-0.891429959005968	0.422330988454603	1.78347074699007	-0.311924836415618	-0.311924836415618
Centralia_C09	0.000622001	0.223883917	0.001416527	0	9.08e-06	0.000281489	0.000762745	0.328570715	0.036044257	0.007500329	0	4.54e-05	0.067879795	0.000971592	0.004413027	0.065369092	0.009457134	0.003890909	3.63e-05	0.001357505	4.09e-05	0.004630954	0	0.001884163	9.08e-06	0.000136205	4.54e-06	0.0030192	0	0	7.72e-05	4.54e-05	0.009697762	6.81e-05	4.54e-05	0.000254248	0	9.08e-06	0.012231166	0.166964047	0	2.27e-05	0.00031327	0.00061292	0	0	0.017983537	0.027794803	3.18e-05	0	0.00150733	6.36e-05	0	1.82e-05	0	2.27e-05	-1.5870111468569	-1.52076443295802	0.680838122544399	-0.798428495191072	-0.155177423231705	-0.248903008887485	-0.883609041842969	3.02440214561001	0.325034028374018	-0.533660783951291	-0.584293160677708	-0.874135426660574	-0.874135426660574
Centralia_C10	0.00151641	0.262093827	0.002079389	4.54e-06	0	0	9.08e-06	0.337909805	0.041810249	0.004431187	0	2.27e-05	0.032580122	2.72e-05	0.00300104	0.092146901	0.037174755	0.000581139	4.99e-05	3.18e-05	2.27e-05	0.023881193	0	0.000653782	9.08e-06	6.81e-05	1.82e-05	0.002020367	4.54e-06	0	1.36e-05	2.27e-05	0.003682062	6.36e-05	2.72e-05	9.08e-05	0	0	0.006151904	0.113412968	0.000399533	1.36e-05	0.000190686	9.08e-05	2.72e-05	0	0.02497537	0.007618373	0	0	0.000985213	5.45e-05	0	1.82e-05	4.54e-06	9.08e-06	-1.79948794362529	-1.86784327646907	2.06794465404402	1.06246807050046	3.99757377507822	4.00409188210302	-0.988939921003057	0.235295043586358	0.846375737251154	-0.284754136741133	0.00305912649569489	3.71119074717805	3.71119074717805
