X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
Unassigned;Other;Other;Other;Other;Other	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__	-0.744583	-0.744583	-0.744583	2	2	17	0	0	-0.588369	0.010214	-0.588369	0.010214	0	-0.687661	0.001611	-0.687661	0.001611	0	0	0.110444	0.110444	0.051875	0.051875	1	763
k__Archaea;p__Crenarchaeota;c__MBGA;Other;Other;Other	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Kyrpidia	0.899074	0.899074	0.899074	4	4	15	0	0	0.316598	0.20054	0.316598	0.20054	0	0.887669	0.000001	0.887669	0.000001	0	0	0.714524	0.714524	0.000264	0.000264	2	452
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__;g__	0.781938	0.781938	0.781938	7	7	12	0	0	0.873549	0.000002	0.873549	0.000002	0	0.760478	0.000249	0.760478	0.000249	0	0	0.000158	0.000158	0.015724	0.015724	3	4
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other;Other;Other	0.746747	0.746747	0.746747	1	1	18	0	0	0.897952	0	0.897952	0	0	0.762722	0.000232	0.762722	0.000232	0	0	0.000042	0.000042	0.015085	0.015085	3	8
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__SK322;g__	0.772034	0.772034	0.772034	2	2	17	0	0	-0.047031	0.852986	-0.047031	0.852986	0	0.747532	0.000362	0.747532	0.000362	0	0	0.790606	0.790606	0.020177	0.020177	3	18
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	k__Bacteria;p__Acidobacteria;c__TM1;o__;f__;g__	0.888357	0.888357	0.888357	2	2	17	0	0	0.938709	0	0.938709	0	0	0.856702	0.000006	0.856702	0.000006	0	0	0.000002	0.000002	0.001064	0.001064	3	79
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae;g__Thermogemmatispora	0.779258	0.779258	0.779258	1	1	18	0	0	-0.017194	0.946012	-0.017194	0.946012	0	0.796081	0.000078	0.796081	0.000078	0	0	0.806121	0.806121	0.007058	0.007058	3	394
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__;g__	0.715164	0.715164	0.715164	1	1	18	0	0	0.207249	0.409272	0.207249	0.409272	0	0.787312	0.000105	0.787312	0.000105	0	0	0.776734	0.776734	0.008749	0.008749	3	411
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__	0.840596	0.840596	0.840596	1	1	18	0	0	0.801845	0.000063	0.801845	0.000063	0	0.84696	0.000009	0.84696	0.000009	0	0	0.002319	0.002319	0.001533	0.001533	3	450
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales;f__Anaerobrancaceae;g__Dethiobacter	-0.696858	-0.696858	-0.696858	6	6	13	0	0	-0.2261	0.366972	-0.2261	0.366972	0	-0.645783	0.003792	-0.645783	0.003792	0	0	0.776734	0.776734	0.084651	0.084651	3	540
