SampleID	Richness_Avg	Richness_SD	PD_Avg	PD_SD	Name2	Temperature	FireFront	Activity	Elick	OrganicMatter_360	OrganicMatter_500	NO3N_ppm	NH4N-ppm	pH	SulfateSulfur_ppm	K_ppm	Ca_ppm	Mg_ppm	Fe_ppm	Iron_ppm	As_ppm
C01.05102014.R1.D01	13189.3	1167.1	769.1	47.7	Cen01_05102014_R1	14.1	Front2	Recovered	1982	2.6	3.9	0.7	2.2	4.7	1	35	194	61	48.6	48.6	NA
C02.05102014.R1.D01	13958.7	444	791.7	22.9	Cen02_05102014_R1	13.6	Front2	Recovered	1980	2.7	6.5	0.6	2.5	4.2	55	28	59	19	59.5	59.5	4.2
C03.05102014.R1.D01	14140.7	1806	813.6	59.9	Cen03_05102014_R1	14.7	Front2	Recovered	2002	NA	48.9	0.3	3.2	4.5	4	31	1416	241	54.7	54.7	7.1
C04.05102014.R1.D01	16322	482.1	840.2	18.2	Cen04_05102014_R1	13.3	Front2	Recovered	1999	8.7	12.8	0.8	5	4.6	23	34	103	46	167.2	167.2	3.6
C05.05102014.R1.D01	16871.3	1095.5	874.6	35.7	Cen05_05102014_R1	14	Front2	Recovered	2009	NA	25.4	5.7	5	4.1	6	43	63	43	164.5	164.5	NA
C06.05102014.R1.D01	13930.3	942	736.5	44.9	Cen06_05102014_R1	24.1	Front2	ActiveVent	2014	5.8	11.9	0.8	3.2	4.7	4	46	111	52	75.6	75.6	NA
C07.05102014.R1.D01	16899.7	826.5	860	27.9	Cen07_05102014_R1	13.5	Front1	Recovered	2005	4.1	6	0.7	4	4.6	14	40	78	37	108.9	108.9	NA
C08.05102014.R1.D01	18030.7	209.9	963.5	6.7	Cen08_05102014_R1	12.6	Reference	Reference	NA	2.8	3.8	0.6	2.9	6	8	27	691	167	76.5	76.5	NA
C09.05102014.R2.D04	9869.7	1121.5	552.3	61.5	Cen09_05102014_R2	34.2	Front1	ActiveVent	2009	1.4	3.2	3.1	2.7	4.1	75	48	88	38	16.2	16.2	NA
C10.05102014.R1.D01	9299.7	1541	506.5	66.8	Cen10_05102014_R1	54.2	Front1	ActiveVent	2007	NA	24.5	98.4	120.6	4	21	57	245	70	508	508	NA
C11.06102014.R1.D01	15921.3	1309.9	788.1	43.5	Cen11_06102014_R1	21.1	Front1	ActiveVent	2009	4.4	5.7	0.5	2.5	4.7	8	30	102	37	80.6	80.6	NA
C12.06102014.R2.D01	9992.3	1398.5	521.7	64.8	Cen12_06102014_R2	32	Front1	ActiveVent	2009	3.6	6	0.2	2	4.8	7	24	51	30	150.3	150.3	3.9
C13.06102014.R2.D10	11933	967.6	665.8	38.1	Cen13_06102014_R2	57.4	Front1	ActiveVent	2009	3.1	7.1	4.6	1.7	8	28	37	2545	114	67.1	67.1	NA
C14.06102014.R1.D01	12109.3	1745.4	642.3	74.6	Cen14_06102014_R1	34.1	Front1	Warm	2002	9.7	21.9	0.9	2.7	5	5	58	394	64	102.7	102.7	NA
C15.06102014.R2.D01	12989	1836.4	680.8	95.8	Cen15_06102014_R2	38.9	Front1	ActiveVent	2002	5.5	9.6	1.1	4	5.2	13	44	224	50	93.3	93.3	NA
C16.06102014.R1.D01	15818.3	239.4	801.3	5.6	Cen16_06102014_R1	21.7	Front1	Warm	2002	4.9	10.6	0.5	1.2	5.6	8	33	497	56	80.8	80.8	NA
C17.06102014.R1.D01	16417	1812.6	884.8	93.8	Cen17_06102014_R1	12.1	Front1	Reference	NA	3.8	6.1	0.1	3.3	5.7	6	99	652	73	48.6	48.6	NA
C18.06102014.RE1.D04	16595.3	716.8	860.8	23.2	Cen18_06102014_R1	13.3	Front1	Recovered	1980	6.8	8.2	0.3	4.1	4.4	10	49	130	59	76.1	76.1	NA
