	Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
k__Bacteria;p__Armatimonadetes	3.03E-03	2.71E-03	4.86E-03	2.43E-03	3.00E-03	4.22E-03	3.03E-03	1.04E-03	7.50E-03	4.43E-03	3.44E-03	1.73E-03	0.0695	2.96E-03	2.48E-03	2.00E-03	1.99E-03	3.92E-03
k__Bacteria;p__BHI80-139	4.54E-06	4.99E-05	2.54E-04	1.36E-04	5.45E-05	4.54E-05	2.54E-04	7.26E-05	0	0	7.26E-05	0	0	1.82E-05	9.08E-06	1.95E-04	3.18E-05	1.82E-05
k__Bacteria;p__BRC1	4.54E-05	1.27E-04	1.04E-04	0	3.63E-05	0	9.08E-06	1.82E-05	4.54E-05	2.27E-05	9.08E-06	3.18E-05	5.45E-05	9.08E-06	4.54E-05	2.72E-05	4.54E-06	1.41E-04
k__Bacteria;p__Bacteroidetes	0.1368	0.1172	0.1058	0.0392	0.0962	0.0693	0.0786	0.0825	0.0679	0.0326	0.0622	0.0278	0.109	0.0443	0.0501	0.0548	0.1132	0.1037
k__Bacteria;p__Caldithrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	0	0
k__Bacteria;p__Chlamydiae	3.41E-03	3.40E-03	0.011	4.44E-03	9.86E-03	0.0152	0.0171	7.74E-03	9.72E-04	2.72E-05	5.25E-03	1.47E-03	8.26E-04	5.36E-04	2.05E-03	8.24E-03	3.85E-03	3.08E-03
k__Bacteria;p__Chlorobi	0.0128	9.84E-03	0.0135	3.27E-03	6.33E-03	2.00E-03	7.75E-03	9.69E-03	4.41E-03	3.00E-03	2.26E-03	7.94E-03	0.035	5.04E-03	4.74E-03	6.45E-03	4.94E-03	9.29E-03
k__Bacteria;p__Chloroflexi	0.0815	0.052	0.0303	0.0995	0.057	0.0778	0.0581	0.0537	0.0654	0.0921	0.1006	0.1694	0.0321	0.2501	0.2075	0.1076	0.0338	0.034
k__Bacteria;p__Cyanobacteria	4.20E-03	0.0159	5.91E-03	2.98E-03	2.51E-03	0.0726	4.56E-03	4.49E-03	9.46E-03	0.0372	0.0499	0.0619	0.0179	4.49E-03	0.0143	0.0116	9.84E-03	2.49E-03
k__Bacteria;p__Elusimicrobia	6.52E-03	5.13E-03	7.60E-03	0.0207	0.0123	4.64E-03	0.0102	5.11E-03	3.89E-03	5.81E-04	6.17E-03	1.02E-03	2.09E-03	1.19E-03	1.54E-03	4.19E-03	0.01	7.36E-03
k__Bacteria;p__FBP	1.09E-04	1.41E-04	1.23E-04	2.27E-05	5.45E-05	1.82E-05	1.82E-05	3.63E-05	3.63E-05	4.99E-05	4.54E-05	4.99E-05	9.53E-05	6.81E-05	6.81E-05	3.63E-05	2.27E-04	1.77E-04
k__Bacteria;p__FCPU426	3.02E-03	2.22E-03	5.52E-03	4.23E-03	4.17E-03	8.84E-03	0.0164	2.04E-03	1.36E-03	3.18E-05	9.32E-03	3.04E-03	1.77E-04	9.08E-05	2.94E-03	3.72E-03	6.58E-04	4.27E-04
k__Bacteria;p__Fibrobacteres	9.99E-05	9.99E-05	8.17E-05	2.27E-05	6.36E-05	7.26E-05	3.18E-05	9.94E-04	4.09E-05	2.27E-05	9.53E-05	4.54E-05	1.27E-04	3.18E-05	8.63E-05	1.77E-04	3.13E-04	6.36E-05
k__Bacteria;p__Firmicutes	7.46E-03	8.93E-03	4.50E-03	3.95E-03	3.52E-03	3.56E-03	9.21E-03	9.08E-03	4.63E-03	0.0239	2.91E-03	2.04E-03	0.0145	9.21E-03	5.40E-03	0.0182	6.67E-03	5.18E-03
k__Bacteria;p__Fusobacteria	0	0	4.54E-06	0	0	4.54E-06	0	0	0	0	0	0	1.36E-05	0	0	0	0	0
k__Bacteria;p__GAL15	4.27E-04	1.09E-04	2.13E-04	8.76E-04	1.36E-05	1.68E-04	2.13E-04	0	1.88E-03	6.54E-04	1.82E-05	8.81E-04	8.44E-04	4.90E-04	1.95E-04	4.54E-06	9.08E-06	1.32E-04
k__Bacteria;p__GN02	5.90E-05	2.72E-05	9.08E-06	6.81E-05	9.08E-06	9.08E-06	1.36E-05	1.82E-05	9.08E-06	9.08E-06	4.54E-06	9.08E-06	8.63E-05	1.82E-05	9.08E-06	7.72E-05	5.45E-05	1.36E-05
k__Bacteria;p__GN04	1.14E-04	3.50E-04	9.08E-05	6.36E-05	1.41E-04	4.09E-05	3.63E-05	7.45E-04	1.36E-04	6.81E-05	0	1.82E-05	1.14E-03	8.17E-05	9.08E-05	9.08E-05	3.18E-05	3.45E-04
k__Bacteria;p__GOUTA4	5.45E-05	2.27E-05	1.36E-05	4.54E-06	2.72E-05	0	1.82E-05	1.82E-05	4.54E-06	1.82E-05	4.54E-06	0	4.54E-05	9.08E-06	0	0	4.54E-06	0
k__Bacteria;p__Gemmatimonadetes	0.0114	8.59E-03	8.71E-03	7.12E-03	5.93E-03	3.95E-03	6.54E-03	0.0176	3.02E-03	2.02E-03	4.09E-03	1.44E-03	0.0152	0.0114	4.88E-03	7.09E-03	0.0185	8.82E-03
k__Bacteria;p__LCP-89	0	0	0	0	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__LD1	0	0	4.54E-06	0	0	0	0	0	0	4.54E-06	0	0	0	0	0	0	0	1.36E-05
k__Bacteria;p__Lentisphaerae	0	0	0	0	0	0	4.54E-06	9.08E-06	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__MVS-104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	0	0	0
k__Bacteria;p__NC10	1.36E-04	1.45E-04	1.73E-04	2.27E-05	1.09E-04	2.27E-05	3.18E-05	2.72E-05	7.72E-05	1.36E-05	4.54E-06	2.72E-05	9.08E-05	8.17E-05	8.63E-05	3.63E-05	1.82E-05	1.50E-04
k__Bacteria;p__NKB19	2.27E-05	2.27E-05	1.82E-05	0	1.82E-05	0	0	4.54E-05	4.54E-05	2.27E-05	4.54E-06	1.36E-05	8.63E-05	0	1.36E-05	2.27E-05	9.08E-06	3.18E-05
k__Bacteria;p__Nitrospirae	0.0157	0.016	8.06E-03	1.97E-03	0.011	1.79E-03	5.47E-03	0.0325	9.70E-03	3.68E-03	1.30E-03	3.79E-03	0.0368	0.0163	9.02E-03	0.0119	0.0164	0.0102
k__Bacteria;p__OD1	6.22E-04	2.86E-04	9.49E-04	1.86E-03	6.86E-04	3.50E-04	2.31E-03	2.37E-03	6.81E-05	6.36E-05	7.58E-04	9.99E-05	8.13E-04	3.72E-04	3.86E-04	2.07E-03	5.68E-04	5.36E-04
k__Bacteria;p__OP11	9.08E-05	1.45E-04	1.82E-05	9.08E-06	1.36E-05	1.36E-05	2.27E-05	6.36E-05	4.54E-05	2.72E-05	1.82E-05	1.36E-05	1.41E-04	4.99E-05	3.18E-05	4.99E-05	1.36E-05	9.08E-06
k__Bacteria;p__OP3	4.40E-04	6.54E-04	2.27E-04	1.10E-03	4.90E-04	2.72E-05	7.22E-04	1.03E-03	2.54E-04	9.08E-05	9.53E-05	7.26E-05	3.31E-04	5.45E-05	2.04E-04	1.91E-04	3.54E-04	3.22E-04
k__Bacteria;p__OctSpA1-106	0	0	0	0	0	0	0	0	0	0	0	0	2.54E-04	0	1.36E-05	0	0	0
k__Bacteria;p__PAUC34f	4.54E-06	0	0	0	0	0	0	0	9.08E-06	0	0	0	0	0	0	9.08E-06	0	0
k__Bacteria;p__Planctomycetes	0.0252	0.0272	0.0386	0.0252	0.0266	0.0362	0.0254	0.0519	0.0122	6.15E-03	0.0235	6.45E-03	0.0239	0.0158	0.0113	0.022	0.0564	0.0338
k__Bacteria;p__Proteobacteria	0.3263	0.3	0.2531	0.2046	0.2604	0.2406	0.2181	0.3925	0.167	0.1134	0.2278	0.1328	0.3897	0.1375	0.213	0.1983	0.2423	0.2882
k__Bacteria;p__SAR406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	0	0	0
k__Bacteria;p__SBR1093	0	0	7.26E-05	0	4.54E-06	1.91E-04	0	0	0	4.00E-04	2.72E-05	5.45E-05	6.23E-03	2.66E-03	4.86E-03	2.85E-03	0	0
k__Bacteria;p__SC4	3.18E-05	0	9.08E-06	0	9.08E-06	0	0	4.54E-06	2.27E-05	1.36E-05	0	0	9.08E-06	2.27E-05	0	9.08E-06	0	2.27E-05
k__Bacteria;p__SR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0
k__Bacteria;p__Spirochaetes	5.68E-04	3.59E-04	6.22E-04	3.32E-03	7.81E-04	6.86E-04	1.16E-03	8.08E-04	3.13E-04	1.91E-04	3.68E-04	7.26E-05	3.63E-04	6.36E-05	7.49E-04	1.86E-04	4.59E-04	3.13E-04
k__Bacteria;p__TM6	5.29E-03	5.90E-04	7.16E-03	1.89E-03	5.04E-03	3.75E-03	0.0103	3.41E-03	6.13E-04	9.08E-05	2.10E-03	5.04E-04	7.63E-04	4.18E-04	1.97E-03	3.37E-03	1.44E-03	2.61E-03
k__Bacteria;p__TM7	6.36E-05	2.72E-04	2.50E-04	1.86E-04	2.13E-04	2.72E-04	1.63E-04	9.08E-05	0	2.72E-05	7.72E-05	0	8.17E-05	5.90E-05	4.09E-05	4.09E-05	2.50E-04	3.77E-04
k__Bacteria;p__Tenericutes	0	2.72E-05	0	0	4.54E-06	0	4.54E-06	4.54E-06	0	0	0	0	0	4.54E-06	0	0	0	0
k__Bacteria;p__Verrucomicrobia	0.0677	0.0695	0.0851	0.0634	0.0668	0.0367	0.0628	0.0865	0.018	0.025	0.0618	0.0153	0.0386	0.0328	0.0415	0.1	0.174	0.0883
k__Bacteria;p__WPS-2	2.78E-03	3.67E-03	3.21E-03	5.55E-03	4.00E-03	1.84E-03	0.0131	1.82E-05	0.0278	7.62E-03	0.0121	2.47E-03	2.27E-04	4.25E-03	1.46E-03	2.51E-03	5.45E-05	3.18E-03
k__Bacteria;p__WS1	0	1.82E-05	4.09E-05	0	2.27E-05	0	9.08E-06	0	3.18E-05	0	4.54E-06	1.36E-05	4.99E-05	1.82E-05	9.08E-06	0	0	2.27E-05
k__Bacteria;p__WS2	1.36E-05	0	0	0	9.08E-06	0	0	1.36E-05	0	0	0	0	1.36E-05	1.36E-05	0	0	0	4.54E-06
k__Bacteria;p__WS3	4.02E-03	3.05E-03	1.47E-03	3.13E-04	1.84E-03	1.91E-04	3.59E-04	9.43E-03	1.51E-03	9.85E-04	3.18E-04	4.31E-04	2.18E-03	1.02E-03	1.01E-03	9.26E-04	0.0116	2.72E-03
k__Bacteria;p__WS4	2.77E-04	4.04E-04	1.04E-04	3.63E-05	9.53E-05	0	1.36E-05	4.54E-06	6.36E-05	5.45E-05	1.36E-05	2.72E-05	2.86E-04	4.09E-05	8.17E-05	7.72E-05	1.36E-05	2.22E-04
k__Bacteria;p__WS5	9.08E-06	0	0	0	0	0	4.54E-06	0	0	0	0	0	0	0	4.54E-06	9.08E-06	0	0
k__Bacteria;p__WWE1	1.04E-04	6.81E-05	1.36E-05	0	8.17E-05	0	0	1.36E-05	1.82E-05	1.82E-05	0	4.54E-06	4.99E-05	1.36E-05	1.82E-05	3.18E-05	2.72E-05	8.17E-05
k__Bacteria;p__[Caldithrix]	2.72E-05	0	0	0	1.36E-05	4.54E-06	4.54E-06	0	0	4.54E-06	0	0	4.09E-05	0	0	0	4.54E-06	1.36E-05
k__Bacteria;p__[Thermi]	0	9.08E-06	2.72E-05	0	0	0	0	0	2.27E-05	9.08E-06	0	9.08E-06	1.86E-03	2.27E-05	0	2.27E-05	0	4.54E-06
