	Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
Unassigned;Other	1.45E-03	9.40E-04	9.53E-04	1.15E-03	1.10E-03	1.95E-03	1.01E-03	9.53E-04	6.22E-04	1.52E-03	2.83E-03	1.86E-03	2.07E-03	2.09E-03	1.27E-03	8.26E-04	7.31E-04	1.12E-03
k__Archaea;p__Crenarchaeota	4.02E-03	3.85E-03	4.93E-03	0.0113	9.02E-03	2.12E-03	0.0379	2.10E-03	0.2239	0.2621	2.55E-03	0.1597	0.0151	0.1573	0.1218	0.0136	5.22E-03	2.85E-03
k__Archaea;p__Euryarchaeota	7.45E-04	5.99E-04	5.31E-04	1.41E-03	8.08E-04	8.13E-03	4.27E-04	3.81E-04	1.42E-03	2.08E-03	9.99E-05	2.72E-04	3.81E-04	2.18E-04	2.27E-04	1.31E-03	1.23E-04	3.13E-04
k__Archaea;p__[Parvarchaeota]	0	1.82E-05	4.54E-06	0	0	0	0	0	0	4.54E-06	0	0	4.54E-06	0	0	0	0	0
k__Bacteria;Other	1.82E-05	4.99E-05	6.36E-05	2.27E-05	5.45E-05	9.08E-06	4.54E-06	4.54E-05	9.08E-06	0	4.09E-05	0	4.99E-05	1.36E-05	2.72E-05	2.72E-05	1.82E-05	1.82E-05
k__Bacteria;p__	6.36E-05	0	9.08E-06	1.36E-05	4.54E-06	0	3.18E-05	8.63E-05	2.81E-04	0	9.08E-06	0	9.08E-06	4.54E-06	9.08E-06	9.08E-06	4.54E-06	9.08E-06
k__Bacteria;p__AD3	5.54E-04	2.00E-04	1.68E-04	1.71E-03	6.22E-04	3.63E-05	6.45E-04	2.27E-05	7.63E-04	9.08E-06	1.09E-03	0	0	2.27E-04	2.72E-05	1.32E-04	6.36E-05	5.63E-04
k__Bacteria;p__Acidobacteria	0.2345	0.2729	0.3607	0.443	0.3793	0.3525	0.3727	0.1638	0.3286	0.3379	0.3369	0.3937	0.1121	0.2638	0.281	0.3503	0.2101	0.3423
k__Bacteria;p__Actinobacteria	0.0382	0.0721	0.0349	0.0428	0.0296	0.0503	0.0352	0.0572	0.036	0.0418	0.0799	3.46E-03	0.0688	0.0347	0.0135	0.0646	0.0759	0.0424
k__Bacteria;p__Aquificae	0	0	0	0	0	0	0	0	0	0	0	0	6.36E-05	0	0	0	0	0
