X var	Y var	MIC (strength)	MIC-p^2 (nonlinearity)	MAS (non-monotonicity)	MEV (functionality)	MCN (complexity)	Linear regression (p)	rawp	BH	BY
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other;Other	1	0.10630232	0	1	2	0.94535583	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other;Other	1	0.6296139	0	1	2	0.6085936	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other;Other	1	0.96341145	0	1	2	0.19128141	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__	1	0.44082403	0	1	2	0.7477807	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__	k__Bacteria;p__Acidobacteria;c__S035;o__;f__	1	0.72488487	0	1	2	0.5245142	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	k__Bacteria;p__Acidobacteria;c__RB25;o__;f__	1	0.32598323	0	1	2	0.82098526	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae	k__Bacteria;p__Acidobacteria;c__AT-s2-57;o__;f__	1	0.43736178	0	1	2	0.75009215	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__TP122;f__	k__Bacteria;p__Armatimonadetes;c__SJA-176;o__RB046;f__	1	0.1709581	0	1	2	0.9105174	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BA008	1	0.5119684	0	1	2	0.6985926	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__;f__	k__Bacteria;p__Bacteroidetes;c__BME43;o__;f__	1	0.13937253	0	1	2	0.9277001	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chlamydiae;c__Chlamydiia;Other;Other	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BA008	1	0.021628737	0	1	2	0.9891265	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chlamydiae;c__Chlamydiia;Other;Other	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16	1	0.52621484	0	1	2	0.6883205	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chlorobi;c__BSV26;o__VC38;f__	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae	1	0.999974	0	1	2	-0.005098604	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	1	0.60232055	0	1	2	0.6306183	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chloroflexi;Other;Other;Other	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X	1	0.8455495	0	1	2	0.39300185	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales;f__Ardenscatenaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BA008	1	0.024147987	0	1	2	0.9878522	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales;f__Ardenscatenaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16	1	0.4651237	0	1	2	0.7313524	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales;f__Ardenscatenaceae	k__Bacteria;p__Chlamydiae;c__Chlamydiia;Other;Other	1	0.029921949	0	1	2	0.9849254	0.000259948	0.00699946939130435	0.0669907271127364
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae	k__Bacteria;p__Acidobacteria;c__S035;o__;f__	1	0.32757008	0	1	2	0.82001823	0.000259948	0.00699946939130435	0.0669907271127364
