X var	Y var	MIC (strength)	MIC-p^2 (nonlinearity)	MAS (non-monotonicity)	MEV (functionality)	MCN (complexity)	Linear regression (p)	rawp	BH	BY
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other	1	0.10630232	0	1	2	0.94535583	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other	1	0.6296139	0	1	2	0.6085936	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other	1	0.96341145	0	1	2	0.19128141	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100	1	0.44082403	0	1	2	0.7477807	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__TP122	k__Bacteria;p__Armatimonadetes;c__SJA-176;o__RB046	1	0.1709581	0	1	2	0.9105174	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Bacteroidetes;c__SM1A07;o__	k__Bacteria;p__Acidobacteria;c__S035;o__	1	0.51650614	0	1	2	0.69533724	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	1	0.024270236	0	1	2	0.98779035	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales	k__Bacteria;p__Acidobacteria;c__S035;o__	1	0.32757008	0	1	2	0.82001823	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales	k__Bacteria;p__Bacteroidetes;c__SM1A07;o__	1	0.52793586	0	1	2	0.68706924	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__DRC31	k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20	1	0.5876162	0	1	2	0.64217114	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	1	0.0409621	0	1	2	0.9793048	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales	1	0.013883829	0	1	2	0.9930338	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__pLW-97	k__Bacteria;p__Chlorobi;c__BSV26;o__VC38	1	0.18156326	0	1	2	0.90467495	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	k__Bacteria;p__Acidobacteria;c__DA052;o__E29	1	0.31420732	0	1	2	0.828126	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__	k__Bacteria;p__Acidobacteria;c__S035;o__	1	0.27762997	0	1	2	0.84992355	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__	k__Bacteria;p__Bacteroidetes;c__SM1A07;o__	1	0.65929437	0	1	2	0.58369994	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales	1	0.33701813	0	1	2	0.814237	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1	k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	1	0.78245324	0	1	2	-0.4664191	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Elusimicrobia;c__4-29;o__	k__Bacteria;p__Acidobacteria;c__TM1;o__	1	0.9578813	0	1	2	-0.20522848	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb	k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales	1	0.7646563	0	1	2	0.48512235	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__LD1;c__;o__	k__Bacteria;p__Acidobacteria;c__S035;o__	1	0.06157607	0	1	2	0.9687228	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__LD1;c__;o__	k__Bacteria;p__Bacteroidetes;c__SM1A07;o__	1	0.44511408	0	1	2	0.74490666	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__LD1;c__;o__	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales	1	0.52294457	0	1	2	0.690692	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__LD1;c__;o__	k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__	1	0.37856406	0	1	2	0.7883121	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__NC10;c__wb1-A12;o__	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	1	0.26493043	0	1	2	0.857362	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__NC10;c__wb1-A12;o__	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales	1	0.24293631	0	1	2	0.87009406	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__NC10;c__wb1-A12;o__	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39	1	0.21177709	0	1	2	0.8878192	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__OD1;c__;o__	k__Bacteria;p__Chloroflexi;c__SAR202;o__	1	0.22575843	0	1	2	0.87991	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;Other	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;Other	1	0.43285656	0	1	2	0.75308925	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CCM11a	k__Bacteria;p__Acidobacteria;c__DA052;o__E29	1	0.19721544	0	1	2	0.89598244	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CCM11a	k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	1	0.5251065	0	1	2	0.6891252	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	k__Bacteria;p__Acidobacteria;c__DA052;o__E29	1	0.08737701	0	1	2	0.955313	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	1	0.40622717	0	1	2	0.7705666	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CCM11a	1	0.16771513	0	1	2	0.9122965	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__S-70	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other	1	0.20573771	0	1	2	0.89121395	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__S-70	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100	1	0.7389097	0	1	2	0.51096994	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__S-70	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	1	0.9831045	0	1	2	0.1299827	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Planctomycetes;c__Pla4;o__	k__Bacteria;p__Acidobacteria;c__RB25;o__	1	0.19581223	0	1	2	0.8967652	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;Other;Other	k__Bacteria;p__Chlorobi;Other;Other	1	0.6057943	0	1	2	0.627858	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	k__Bacteria;p__Planctomycetes;c__[Brocadiae];o__Brocadiales	1	0.32603794	0	1	2	0.82095194	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329	1	0.24762923	0	1	2	0.8673931	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SB-34	1	0.93781686	0	1	2	0.24936552	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other	1	0.4298969	0	1	2	0.75505173	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100	1	0.3128432	0	1	2	0.8289492	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	1	0.63404155	0	1	2	0.604945	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__S-70	1	0.3599338	0	1	2	0.8000414	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067	k__Bacteria;p__OP3;c__koll11;o__GIF10	1	0.8819017	0	1	2	0.34365436	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	1	0.11977708	0	1	2	0.93820196	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales	1	0.13374978	0	1	2	0.93072563	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39	1	0.17604578	0	1	2	0.90771925	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales	k__Bacteria;p__NC10;c__wb1-A12;o__	1	0.500796	0	1	2	0.7065437	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other	1	0.2826864	0	1	2	0.8469437	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100	1	0.48236632	0	1	2	0.71946764	0.000259948	0.00731177043609023	0.064376172400879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	1	0.89754164	0	1	2	0.3200912	0.000259948	0.00731177043609023	0.064376172400879
